Date,PX_LAST,Rate_of_Change
2025-03-05,82.44,0.0041412911084044435
2025-03-04,82.1,-0.017001915708812265
2025-03-03,83.52,0.005296100144439153
2025-02-28,83.08,0.013294304183437022
2025-02-27,81.99,-0.00012195121951230625
2025-02-26,82.0,-0.019138755980861122
2025-02-25,83.6,0.014193861458206891
2025-02-24,82.43,0.0030421027013871615
2025-02-21,82.18,0.011695186507447941
2025-02-20,81.23,-0.003923973022685434
2025-02-19,81.55,0.00803461063040789
2025-02-18,80.9,0.0035975685398834667
2025-02-14,80.61,-0.009948415622697104
2025-02-13,81.42,0.010800744878957325
2025-02-12,80.55,-0.0007443245254931119
2025-02-11,80.61,0.009644288577154159
2025-02-10,79.84,0.006175173282923829
2025-02-07,79.35,-0.0015100037750095385
2025-02-06,79.47,0.004550625711035261
2025-02-05,79.11,0.006232510811498226
2025-02-04,78.62,-0.008449993694034541
2025-02-03,79.29,0.0039250443150165015
2025-01-31,78.98,-0.009406747773736401
2025-01-30,79.73,0.009879670677644059
2025-01-29,78.95,0.002412392077196568
2025-01-28,78.76,-0.015623047119110112
2025-01-27,80.01,0.02708600770218217
2025-01-24,77.9,0.005161290322580614
2025-01-23,77.5,0.0036260036260036266
2025-01-22,77.22,-0.004896907216494828
2025-01-21,77.6,0.0046607975142414215
2025-01-17,77.24,0.005729166666666563
2025-01-16,76.8,0.007477371113734588
2025-01-15,76.23,-0.0033991371421099315
2025-01-14,76.49,0.00026154047338811104
2025-01-13,76.47,0.0017029080429655785
2025-01-10,76.34,-0.013440165417420435
2025-01-08,77.38,0.0018125323666493554
2025-01-07,77.24,-0.003483421494000938
2025-01-06,77.51,-0.01046853057576913
2025-01-03,78.33,-0.0005103993875208435
2025-01-02,78.37,-0.003053046686172123
2024-12-31,78.61,0.0030623963251243946
2024-12-30,78.37,-0.011727616645649364
2024-12-27,79.3,-0.004893964110929905
2024-12-26,79.69,0.0031470292044311066
2024-12-24,79.44,0.006588950836289964
2024-12-23,78.92,-0.012759569677257887
2024-12-20,79.94,0.0035149384885764245
2024-12-19,79.66,-0.00710457434874745
2024-12-18,80.23,-0.015220326500552273
2024-12-17,81.47,-0.0017154760446024264
2024-12-16,81.61,-0.005241345685031762
2024-12-13,82.04,-0.002553191489361617
2024-12-12,82.25,0.002926472381416856
2024-12-11,82.01,-0.007623426911906983
2024-12-10,82.64,0.004741641337385971
2024-12-09,82.25,-0.0015780529254673104
2024-12-06,82.38,-0.004952288923783188
2024-12-05,82.79,0.004001940334707799
2024-12-04,82.46,-0.0027814729713387942
2024-12-03,82.69,-0.005173243503368674
2024-12-02,83.12,-0.0012016342225426024
2024-11-29,83.22,0.005072463768115876
2024-11-27,82.8,0.0020573641534551435
2024-11-26,82.63,0.004131729250212546
2024-11-25,82.29,0.005498533724340282
2024-11-22,81.84,0.009248982611912648
2024-11-21,81.09,0.010845175766641901
2024-11-20,80.22,-0.005084955971722649
2024-11-19,80.63,0.001366120218579292
2024-11-18,80.52,0.007003501750875385
2024-11-15,79.96,-0.008801289202925555
2024-11-14,80.67,-0.002473104983306551
2024-11-13,80.87,0.0029765595932036426
2024-11-12,80.63,0.0011174571641419107
2024-11-11,80.54,-0.0034644889878741036
2024-11-08,80.82,0.012147777082028854
2024-11-07,79.85,0.0036450477626948086
2024-11-06,79.56,-0.016320474777448024
2024-11-05,80.88,0.006345651362448468
2024-11-04,80.37,0.002744853399875291
2024-11-01,80.15,0.000374438342486183
2024-10-31,80.12,-0.0019930244145490716
2024-10-30,80.28,-0.0016167143390125593
2024-10-29,80.41,-0.009851003570988781
2024-10-28,81.21,0.0018504811250923403
2024-10-25,81.06,-0.008319060435527215
2024-10-24,81.74,-0.0013439218081856552
2024-10-23,81.85,-0.0019509815876114223
2024-10-22,82.01,0.00564071122011045
2024-10-21,81.55,-0.008390077821011643
2024-10-18,82.24,0.0021935169388251907
2024-10-17,82.06,-0.004488657042339028
2024-10-16,82.43,-0.0007273608922292452
2024-10-15,82.49,0.0063437843113334225
2024-10-14,81.97,0.004042136207741187
2024-10-11,81.64,0.005542554501785979
2024-10-10,81.19,-0.004414469650521169
2024-10-09,81.55,0.006044905008635526
2024-10-08,81.06,0.004959087527894868
2024-10-07,80.66,-0.009942310052780234
2024-10-04,81.47,0.003325123152709386
2024-10-03,81.2,-0.00999756157034859
2024-10-02,82.02,-0.008462282398452592
2024-10-01,82.72,-0.0033734939759035854
2024-09-30,83.0,-0.00024090580582991628
2024-09-27,83.02,0.001810063955592911
2024-09-26,82.87,0.002298016448959883
2024-09-25,82.68,-0.002533478103510567
2024-09-24,82.89,-0.0024070285232880018
2024-09-23,83.09,0.00048163756773034194
